final_text,Sentiment,label
divestment raisio 's margarine business may 2009 gave company clearer focus grainbased product,positive,2
company intensifying smelter operation increasing annual production capacity 230000 tonne copper,positive,2
estonian electronic component factory elcoteq running material closure air traffic,negative,0
petrofac book â30m cost shetland gas terminal delay,negative,0
operating loss totalled eur 40 mn compared profit eur 86 mn second quarter 2008,neutral,1
company studying feasibility focusing processed meat production vantaa facility processing fresh meat forssa facility,neutral,1
cent profile contains business operation company history major product service prospect key competitor structure key employee location subsidiary,neutral,1
alert new rsi signal created $ cost buy 14878 time 1419 strength 10 powered httpstcomhobzu3rmx,positive,2
building house product development test laboratory,neutral,1
rt cash_cow $ tlt still rising rsi macd bond buying signaling bad move market $ spy $ uup,negative,0
$ dpz broke bull flag channel make new high volume poor,positive,2
finnish security privacy software solution developer stonesoft oyj said january 7 2008 preliminary sale stonegate product grew 59 pct yearonyear 36 mln euro $ 53 mln fourth quarter 2007,positive,2
adpnews may 4 2010 finnish cutlery hand tool maker fiskars oyj abp hel fisa said today net profit declined eur 129 million usd 17m first quarter 2010 eur 17 million correspond,negative,0
philip morris bat sue law taking branding pack,negative,0
pretax profit totaled eur 90 mn eur 363 mn 2007,negative,0
total project duration three year valued eur11 5,neutral,1
operating profit excluding nonrecurring item eur 78 million compared eur 112 million,negative,0
company also said november 16 2006 real estate fund ky signed agreement finnish window maker fenestra oy build window plant forssa southern finland,positive,2
ebrd using fund provide 216 million loan b portion 10 million euro syndicated two finnish commercial bank nordea bank finland plc pohjola bank plc,neutral,1
according arokarhu purchase scanned cash register computer disappeared total sum key pressed,negative,0
reported june 26 circuit continued alternately report track vacant occupied almost constantly june 17 part track signaling device replaced time crash according metro source ``,neutral,1
$ chkp abc bullish pattern target httpstcouvmmrsr5zy,positive,2
sale healthcare trade business support oriolakd 's strategy focus pharmaceutical wholesale retail business,positive,2
citigroup sell onemain springleaf $ 425 billion,positive,2
finnish software hardware developer elektrobit oyj hel ebg1v eb said today temporarily lay 200 people maximum 90 day finland aiming achieve cost saving eur 17 million usd 2m second half 2010,negative,0
record date dividend distribution march 14 2008,neutral,1
vanhanen said strike would extremely damaging `` 1300 participant reporter begin arrive finland oneday eu summit russian president vladimir putin lahti 100 kilometer 60 mile north helsinki,negative,0
operating loss totalled eur 127 mn compared profit eur 177 mn first half 2008,negative,0
operating profit fell eur 79 mn second quarter 2005 eur 51 mn second quarter 2006,negative,0
area also include central building honkarakenne started negotiation delivery,neutral,1
new factory working model reorganisation would decrease nokian tyre ' cost factory eur 30 million usd 387,positive,2
following registration share capital biotie eur 5255667810,neutral,1
service supplier efore plc streamline operation finland u finnish electronic system service supplier efore plc omx helsinki efo1v said tuesday 3 february initiated statutory negotiation regarding streamlining operation finland,positive,2
finnish forest machinery manufacturer ponsse issued profit warning,negative,0
biohit oyj develops manufacture market liquid handling product diagnostic test system use research healthcare industrial laboratory,neutral,1
finnish steel maker rautaruukki oyj hel rtrks ruukki said today net loss contracted eur 49 million usd 682 first nine month 2010 eur 229 million period year ago,positive,2
$ line biggies must loading low,positive,2
central europe important market area honka,neutral,1
revenue grew 2 percent x20ac 580 million $ 743 million x20ac 569 million,positive,2
finnish bank pohjola bank plc hel poh1s said today issue eur 40 million usd 512 indexlinked bond pohjola tutkimuksen tahdet viii2010 pohjola research star viii2010 october 27 2010,neutral,1
long position $ golupdating httpstkscofdmm,positive,2
antti orkola president kemira growhow 's industrial solution unit told thomson financial news company put opening mine price phosphate quite depressed long time ' ',negative,0
report oriolakd 's chief executive officer eero hautaniemi,neutral,1
update 5barclays chairman mcfarlane ax ceo speed strategic change,negative,0
longed $ amzn 300 18982,positive,2
company aim maintain trend profitability current year,positive,2
deutsche bank cut $ sbux,negative,0
finnish solution provider affecto oyj hel afe1v said today slipped net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year earlier,negative,0
natural source isoprene tree specie hevea brasiliensis also known rubber tree,neutral,1
press serco set appoint roy gardner excentrica chairman ft,positive,2
need malware removal tool type url vendor choice directly browser bar use link website `` wrote trend micro 's rik ferguson monday,neutral,1
update easyjet passenger number aer lingus traffic february,positive,2
slump weir lead ftse record high,negative,0
finnish plumbing heating system supplier uponor 's net sale continuing business operation decreased eur 2491 mn julyseptember 2008 compared eur 2621 mn third quarter 2007,negative,0
reported operating margin negative 59 %,negative,0
net sale lehdentekijat unit approximately eur 14 million 2007 70 employee,neutral,1
finnish kemira 's net sale eur decreased eur 12596 mn januaryjune 2009 eur 14251 mn januaryjune 2008,negative,0
building home improvement trade net sale totalled eur 1173 mn eur 1566 mn year earlier,negative,0
also bringing right kind people `` upgrade human resource,positive,2
finnish sport equipment company amer sport said decided lay 370 worker salomon division france,negative,0
operating result showed loss eur 29 mn year showed profit eur 06 mn,negative,0
operating loss landed eur39m including oneoffs eur27m excluding oneoffs,neutral,1
utility also provide service related electricity management hedging trade risk management reporting,neutral,1
identity buyer yet known,neutral,1
loading $ spy $ aapl put think toppy imho,negative,0
finnish forest industry group stora enso oyj issued thursday 20 march profit warning first quarter 2008,negative,0
rt tomhend777 $ mu need hold broken need big flush still technically oversold big bounce yet,neutral,1
low energy consumption flexible loading advantage chf pro ``,neutral,1
company said fall turnover planned,negative,0
finland insurance company pohjola finnish motorcyclist association signed agreement aim improving motorcyclist ' traffic safety,positive,2
meanwhile nokia said able deliver complete range service deployment operation consulting integration managed service result buyout,positive,2
within framework partnership nokia siemens network signed initial framework purchase agreement sitronics subsidiary jsc mikron largest manufacturer exporter microelectronic component russia,positive,2
eu drop shell bp statoil ethanol benchmark investigation,positive,2
alexandria va june 7 michael g williams newbury park calif developed network device,neutral,1
's bad idea make 5 min prediction based faith rt dandyduct $ aapl sell signal hit 584 go next 5 min,negative,0
said thing different new finnish nuclear power station go operation large hydro powered station northern europe good year,neutral,1
went long $ ilmn,positive,2
finnish power supply solution system provider efore oyj said net loss widened 32 mln euro $ 42 mln first quarter fiscal 20062007 ending october 31 2007 900000 euro $ 12 mln period fiscal 200506,neutral,1
upm 's delivery increased third quarter 4 percent efficiency operation improved `` chief executive jussi pesonen said,positive,2
$ bbry actually lost 03c per share u incl vz debt 31 cash,negative,0
company said fall turnover planned,negative,0
according finnish aktia bank 's managing director jussi laitinen bank 's aim triple number customer finland next five year,positive,2
$ aapl 'm sure short holding breath hoping miracle lol,positive,2
high court finland fined seven local asphalt company lion $ 117 million operating cartel,negative,0
negotiation started neste oil anticipated 450 people would affected,neutral,1
update 1astrazeneca sell rare cancer drug sanofi $ 300 mln,positive,2
finnish talvivaara mining co hel tlv1v said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible note worth eur250m usd332m,neutral,1
companiesmeggitt profit hit weak energy military market,negative,0
operating profit excluding nonrecurring item totaled eur 54 mn compared eur 55 mn corresponding period 2007,negative,0
tesla motor recall 2700 model x suv httpstcobfws3dbm0u $ tsla,negative,0
cutting number plant group trim fixed cost,positive,2
juniper tumble q1 warning cisco also lower httpstcon8x8bplj1e $ jnpr $ csco,negative,0
operating profit totaled eur 67 mn eur 72 mn corresponding period 2005,neutral,1
liquidity providing interrupted may 11 2007 aspocomp group oyj 's share traded 050 cent aspocomp 's stock exchange release 1152007,neutral,1
shell 's $ 70 billion bg deal meet shareholder skepticism,negative,0
marimekko today 20 november signed license agreement swedish chain whereby marimekko license popular pattern 1950s 1960s 1970s hm,positive,2
agreement strengthens longterm partnership nokia siemens network,positive,2
transaction subject final agreement party approval decisionmaking body approval finnish competition authority,neutral,1
finnish bank àland 's consolidated net operating profit increased eur 48 mn first quarter 2005 eur 64 mn first quarter 2006,positive,2
250 sq 2691 sq ft store copenhagen 's premier shopping district inaugurated today strengthening company 's presence nordic capital,positive,2
operating profit totalled eur 96 mn eur 420 mn year,negative,0
center built kapuli district mantsala beside hankomantsalaporvoo road near new direct rail link lahti jarvenpaa,neutral,1
company design manufacture highquality clothing interior decoration textile bag accessory,neutral,1
according shipping company viking line eu decision significant financial impact,neutral,1
warmly welcome,neutral,1
finnish developer manufacturer mobile phone charger salcomp plc omx helsinki sal1v wednesday 19 november lowered fullyear net sale estimate,negative,0
raisio site main production plant well company headquarters,neutral,1
insurer axa par c slid 535 % eur 1415 citigroup ing slashed target stock,neutral,1
total capital fund managed bank decreased 28 % eur 284mn end september 2008,negative,0
however net sale declined eur 8036 million eur 12 billion,negative,0
group expand chain include 45 store,positive,2
antti orkola president kemira growhow 's industrial solution unit told thomson financial news company put opening mine price phosphate quite depressed long time ' ',neutral,1
eu drop shell bp statoil ethanol benchmark investigation,positive,2
$ lulu outlook q1 2013 lost revenue range $ 12 million $ 17 million good,negative,0
$ fb $ aapl $ nke $ jwn bearish chart keep getting worse,negative,0
$ lnkd daily phase 2 retest price experiencing early rejection retest httpstkscot04xx,negative,0
basware business transaction service enables customer receive send invoice electronic format,neutral,1
chartered accountant british columbia alberta well certified public accountant washington state,neutral,1
costco premier retail dividend play httpstcofa5cnh2t0t $ cost,positive,2
however net sale declined eur 8036 million eur 12 billion,negative,0
sale result gain eur 60 million second quarter 2010 oriolakd support finnish company 's strategy focus pharmaceutical wholesale retail operation,positive,2
first industrial seek leed designation uponor 's new building 282000 squarefoot speculative distribution center first park lakeville,neutral,1
net sale surged 30 % eur 36 million,positive,2
cash flow investment amounted eur45m eur46m,neutral,1
finnish scanfil system supplier contract manufacturer communication sector electronics industry report net sale totalled eur 947 mn first half 2010 eur 995 mn first half 2009,negative,0
isolationism another sell rating sell rating spy qqq iwm several company httpstcoj35fnnx744 $ aapl apple $ axp $ bac,negative,0
mreal said ground ' rumor circulating market month ',neutral,1
$ bbry nice bounce,positive,2
long $ vvus share call option w expiration umm today hitting hod,positive,2
motorola world 's secondlargest maker cell phone unveiled new phone tuesday bid resurrect ailing handset business,neutral,1
finnair 's total traffic decreased 87 % term revenue passenger kilometre,negative,0
reported operating margin negative 59 %,negative,0
curator divided material eight theme,neutral,1
rt cash_cow $ tlt still rising rsi macd bond buying signaling bad move market $ spy $ uup,negative,0
18 march 2010 leakage gypsum pond detected today talvivaara mine,negative,0
passenger tunnel expected put operation 2009,neutral,1
finnish electronics contract manufacturer scanfil net sale eur 522 mn first quarter 2007 eur 601 mn year,neutral,1
randgold profit hit poor gold price dividend still increase,neutral,1
fullyear net sale expected increase approximately 10 % company said,positive,2
$ skh httpstksco163e long setup watch continuation volume expansion hot sector,positive,2
companiestravis perkins lift dividend earnings rise 15 %,positive,2
according gran company plan move production russia although company growing,neutral,1
rautakesko 's business operation norway russia acquired july 2005 included figure comparable period impacting sale growth starting august,neutral,1
currently quarterly applied surcharge differ significantly actual market price,neutral,1
announced investment carmaker hyundai example sound optimistically u course new car mean new tire ``,positive,2
capman asset manager eur 3bn worth asset management nordic region,neutral,1
ssh establishes new global sale marketing group led george adam adam establishes global sale marketing group drive worldwide program supporting ssh tectia enterprise security solution,neutral,1
$ tsla see downside next two week careful 20 dollar drop potential v 10 moved,negative,0
russian gas giant invested another 46 million litas company late 2004 owns 995 percent stock capital amount 86936 million litas,neutral,1
bridge 12 km long located anasmotet road e20 new traffic junction marieholm road e45,neutral,1
operating profit fell eur 381 mn eur 553 mn 2007,negative,0
prosecutor also demanding outokumpu pay fine eur 800000,neutral,1
bm4 middle layer headbox equipped dilution control system,neutral,1
$ twtr sad thing move takeover rumor sold next day,negative,0
company 's market share continued increase,positive,2
company said fall turnover planned,negative,0
aug 17 2010 curbed delivered newstex latest racked covering shopping retail sidewalk,neutral,1
temporary layoff affecting entire workforce also implemented,negative,0
pretax profit totaled eur 49 mn compared eur 52 mn first quarter 2005,neutral,1
1429 cet monday share bavarian nordic climbed 121 % dkk250 stock exchange copenhagen lost 741 % past month,positive,2
net sale 2008 expected level 2007,neutral,1
sullivan said board really involve lot work people get paid time ``,neutral,1
olvi control 94 percent stake ragutis le coq said annual report published earlier year lithuanian brewery 's sale reached 1504 million euro last year rise 204 percent 1249 million euro 2004,positive,2
term profitability earnings 2007 best year history `` chief executive velimatti mattila said,positive,2
april 2005 neste separated parent company finnish energy company fortum became listed helsinki stock exchange,neutral,1
company said agreed eur160m unsecured credit line lender,neutral,1
share subscription period c option commence 1 september 2008 expire 31 march 2011,neutral,1
established 1989 capman manages nordic buyout mezzanine technology life science real estate fund approximately euro 3 billion $ 4 billion total capital,neutral,1
october upm reported thirdquarter net loss euro86 million $ 110 million compared net profit euro120 million 2007,negative,0
micron share pounded fear loss business apple stifel defends $ aapl $ mu httpstkscot1z8t marjo,negative,0
net sale decreased eur 916 mn eur 109mn corresponding period 2005,negative,0
14000 customer left powerless,negative,0
temporary layoff affecting entire workforce also implemented,negative,0
$ amzn 4 period rsi 20 read connors book trading strategy,positive,2
making matter difficult company said grappling higher oil gas price pushed cost energy raw material transportation,neutral,1
finland snow storm brought tree power line cutting electricity 2000 household,negative,0
risto raty tekla 's executive vice president said tekla structure archicad cover entire design documentation workflow throughout construction project,neutral,1
aviva friend life top forecast ahead 56 billion pound merger,positive,2
overall 're pleased startup curve 're pleased quality paper `` stora spokeswoman patricia dietz said tuesday,positive,2
floor area yliopistonrinne project 7900 sq 85030 sq ft building 's gross area total 12800 sq total 251 % facility let,neutral,1
operating profit net sale 12month period increased respectively eur21 5 eur196 1 compared 2005,positive,2
$ spy still want higher think,positive,2
viking line canceled service,neutral,1
maximum number new share offered 22 million,neutral,1
microsoft join opensource eclipse foundation httpstcoz8g5czakeu focus collaboration open business smart strategy $ msft,positive,2
trouble brewing legal general group plc aviva plc,negative,0
metric qpr scorecard support date text milestonebased value improve support managing project around performance processrelated content,positive,2
lining stone sale also good early autumn order book strong end year,positive,2
export declined 6 percent 164 million liter,negative,0
elisa commissioned finland 's poyry telecom oy conduct study reception estonia 's largest city besides tallinn,neutral,1
capman plc press release 31 march 2008 jukka ruuska president omx nordic exchange stockholm stock exchange transfer capman effective later september 2008,neutral,1
global banking news 28 september 2010 tieto corporation pohjola bank pink pojlf cooperate swift service,positive,2
value deal disclosed,neutral,1
companiesdiageo stay neutral india boardroom turmoil,neutral,1
28 october 2010 finnish wood product technology supplier raute oyj hel rutav said today swung net profit eur3m first nine month 2010 versus net loss eur5 2 period year earlier,positive,2
profit tax period eur0 9 eur0 01 last year,positive,2
companieshoward davy appointment rb director delayed,neutral,1
condition deal savcor alfa bought photonium akseli lahtinen inc 's business operation prior deal,neutral,1
acquisition part suomen helasto 's strategy expand lukkoexpert security chain suomen helasto ceo kimmo uusimaki said,neutral,1
food trade sale amounted eur320 1 decline 11 %,negative,0
johnson matthey share price slump company post fullyear result,negative,0
know people ``,neutral,1
alma medium 's operating profit amounted eur 119 mn eur 150 mn year earlier,negative,0
$ spy $ vxx $ aapl party loaded $ uvxy volatility back,negative,0
last job loss related reduction take place 2010,neutral,1
chf great product,positive,2
first time finnair awarded agreement uk government,positive,2
growth net sale first half 2008 28 % compared first half 2007,positive,2
market almost completely controlled three bank nordea op bank group sampo,neutral,1
raute said order worth around 15 mln eur supply several plywood production line mill operated russian wood product company sveza group,positive,2
$ intc $ aapl strong tech lead dow higher,positive,2
insight hire aviva 's david hillier multiasset team,positive,2
adpnews aug 3 2009 finnish medium group ilkkayhtyma oyj hel ilk2s said today net profit fell 45 % year eur 59 million usd 84 first half 2009,neutral,1
net sale finnish food industry company lñnnen tehtaat 's continuing operation increased 13 % 2008 eur 3491 mn eur 3096 mn 2007,positive,2
whitbread profit sale continue rise looking new ceo,positive,2
january traffic measured revenue passenger kilometre rpk went 32 % capacity measured available seat kilometre ask rose 122 %,positive,2
operating margin aker yard cruise ferry division went 83 % 64 % first quarter 2007,negative,0
mr bakman see also expansion option tallinnhelisnki link claiming however operating link single ship enough,neutral,1
operating profit ninemonth period increased eur13 6 net sale increased eur394 7 compared corresponding period 2005,positive,2
finnish laboratory liquid handling diagnostic test system developer biohit oyj omx helsinki biobv issued tuesday 3 june profit warning financial year 2008,negative,0
third quarter fiscal 2008 efore swung net loss eur 400000 versus net profit eur 200000 corresponding period fiscal 2007,negative,0
systeemitiimi 's sale project resource also strengthened director paul skogberg said,positive,2
subsidiary setting facility manufacturing highdensity interconnection printed circuit board pcbs nokia 's special economic zone sriperumbudur near chennai,neutral,1
plant expected enter commercial operation mid2009,neutral,1
telecom foreign investment limit 74 % appears mobile va mean tecnomen pick much 966 %,neutral,1
repeat order follow successfully installed 159 elevator delhi metro system ' kone spokeswoman told thomson financial news,positive,2
result company decided implement fixedterm temporary layoff,negative,0
$ fb 75 % bearish pattern considering bullish sentiment 's impressive bearish move httpstcotajf0ch2qh,negative,0
party agreed negotiate definitive distribution license agreement end june 2010,positive,2
operating profit nonrecurring item eur 83 mn first nine month 2008 compared eur 84 corresponding period 2007,negative,0
company reported today operating loss eur0 1 net sale eur4 5 first quarter 2008,negative,0
original contract signed last summer,neutral,1
helsinki afx retail wholesale group kesko reported net sale 6594 mln eur february increase 108 pct yearonyear,positive,2
$ slv 444 % 18 awful 4250,negative,0
$ tsla yeah let go 230s lol,negative,0
sale tiimari segment fell 40 % yearonyear eur3 3 june 2010,negative,0
ebitda year 2009 improved eur484m compared eur472m 2008,positive,2
upmkymmene said indicated interest domestic consolidation ',neutral,1
$ amzn breaking,positive,2
legal general share price finance chief step,negative,0
capacity ease seikku sawmill pori alholma sawmill pietarsaari result 60 people laid around six week starting midmay said,negative,0
third quarter net sale increased 12 % yearonyear eur159 5 6 % comparable currency rate growth,positive,2
move triggered weak demand forestry equipment uncertain market situation,negative,0
vacon 's cash flow operation grew eur 371 mn eur 219 mn year ago,positive,2
also 77 pct 12month volume weighted average price stock,positive,2
part reorganisation measure take place spring 2006 tamglass finton start personnel negotiation affect entire staff 33,neutral,1
finnish sport equipment company amer sport said decided lay 370 worker salomon division france,negative,0
chain posted sale 298 million euro full 2005 rise 195 percent yearonyear,positive,2
company expects net sale whole 2009 previous year level,neutral,1
earnings per share quarter also higher yearonyear 033 eur versus 027 market expectation 028 eur,positive,2
$ fb $ aapl $ nke $ jwn bearish chart keep getting worse,negative,0
morrison face festive sale test,negative,0
astrazeneca diabetes drug combination face delay fda rebuff,negative,0
$ tsla upgraded buy argus w $ 333 pt 'd almost think 100pt run 5 week would sell signal,positive,2
company established 3g base station 17000 foot foot mount everest enable mountain climber 29035foot summit surf internet even send video exploit,positive,2
new company diapol srl would manufacture tool meant glass stone preprocessing,neutral,1
vaisala 's net profit third quarter 2007 dropped 30 mln euro $ 43 mln 68 mln euro $ 98 mln period 2006,negative,0
companiestravis perkins lift dividend earnings rise 15 %,positive,2
micron share pounded fear loss business apple stifel defends $ aapl $ mu httpstkscot1z8t marjo,negative,0
kesko agro eesti retailer wholesaler grain agricultural warehousing machinery accessory net sale 81 million euro 2007 increase onetenth preceding year,positive,2
connectivity service include outsourced scan capture transfer paper invoice electronic format basware business transaction service enables customer receive send invoice electronic format,neutral,1
barclays poised replace sir mike rake head exit,neutral,1
consumption forecast grow 2 %,positive,2
center offer comprehensive range device design service spanning electronics mechanic software design full range testing laboratory service,neutral,1
result negotiation employment 130 blue whitecollar employee oulu plant would terminated,negative,0
small investor voiced fear share end risk investor,negative,0
consolidated operating profit continuing operation decreased 623 % eur 512 mn eur 1357 mn 2007,negative,0
$ ssys retested low rise steadily hit $ 81 21 trading day ago $ 13086 sept 18 'll,positive,2
julyseptember 2009 konecranes ' sale decreased eur 3687 mn eur 5204 mn julyseptember 2008,negative,0
also cut price projection paper packaging `` analyst goldman sachs said note monday,negative,0
rt stocktwits rt fallondpicks breadth consolidates week steady gainsadvances mkt breadth slowe httpstksco2trg $ qqq,negative,0
amazon attack uk grocery market morrison deal,positive,2
helsinki afx metso said upgrade one upmkymmene 's four paper machine latter 's mill jaemsaenkoski new coating color supply system machine process control quality measurement,positive,2
aldata solution oyj bertrand sciard president ceo information aldata solution oyj bertrand sciard president ceo tel 33 1 46 48 28 00 aldata 100 % retailwholesale aldata 100 % business dedicated retail wholesale business improvement,neutral,1
national conciliator juhani salonius met party wednesday said far apart view propose mediation,negative,0
$ aapl pivot area intraday chart break could send 50day sma 45780 httpstkscojpbn,positive,2
time profit company increased 10 % h1 reached l 79000,positive,2
intuitiv $ clne gasoline price spike california httpstkscot1boi,positive,2
capital base capital adequacy measurement based approach basel ii,neutral,1
$ oil slid fouryear low opec kept oil production unchanged httpstkscoa1ix4 $ uso $ wti $ brent,negative,0
borrower happy roadshow paid hit ratio high,positive,2
unilever profit rise despite sale slump china,positive,2
export account one tenth company 's annual turnover one billion kroon,neutral,1
scottrade $ tsla available shorting time $ w,negative,0
low capacity utilisation rate steel production considerably increase fixed cost per unit steel produced,negative,0
upmkymmene corp world 's largest maker magazine paper tuesday reported 19percent profit drop lower paper price higher cost strong euro hurt revenue,negative,0
however growth margin slowed due financial crisis,neutral,1
building home improvement trade sale decreased 225 % eur 2014 mn,neutral,1
finnish investment company sponda conducting negotiation acquire business center dukat palace2 located center moscow london regional property,neutral,1
company 's profit tax fell eur 211 mn third quarter 2008 compared eur 358 mn corresponding period 2007,negative,0
$ ugaz cold put dent massive horizontal rig production know httpstkscop1v6p,negative,0
reporting period eps stood eur0 07 versus eur0 11,neutral,1
finnish metal product company componenta oyj hel cth1v said today net loss narrowed eur 500000 usd 680000 last quarter 2010 eur 53 million period year earlier,positive,2
operating profit rose eur 1034 mn eur 232 corresponding period 2006,positive,2
also lemminkñinen 's profit accounting period went eur 31 mn eur 245 mn year ago,positive,2
measure taken cause onetime cost final part 2006,neutral,1
1259 pm omx helsinki 25 index 032 pct lower 269481,negative,0
biggest seller chain 's supermarket finland organic pirkka tomato carrot egg meat product,neutral,1
availability internet service highlighted service offer kesko 's kgroup store,neutral,1
make available following brandnew market analysis cement pakistan cement malaysia cement taiwan cement philippine analysis give clear overview actual situation future outlook cement industry asian country,neutral,1
$ hcp come party buy gon na give solid gain dividend $ $ $ $ $ $,positive,2
sale finland decreased 20 % international sale decreased 93 % term euro 151 % term local currency,negative,0
operating profit excluding nonrecurring item totaled eur 54 mn compared eur 55 mn corresponding period 2007,negative,0
sale finland rose 39 % international growth 07 %,positive,2
end day scan stochastic overbought $ jdst $ free $ blrx $ lpg $ afsi $ dvax $ hdge $ aht $ alr $ asmb wwwdailystockplayscom,negative,0
kesko previously published stock exchange release concerning deal 7 february 2007,neutral,1
astrazeneca sell caprelsa right sanofi unit,positive,2
adpnews aug 3 2009 finnish medium group ilkkayhtyma oyj hel ilk2s said today net profit fell 45 % year eur 59 million usd 84 first half 2009,negative,0
1411 cet arcelormittal lost 726 % eur 1738 euronext paris coming lead bluechip faller,negative,0
insurer axa par c slid 535 % eur 1415 citigroup ing slashed target stock,negative,0
choose efficient best overall value option customer already bidding stage,positive,2
hk ruokatalo account 50 % poultry sale finland profitability good level,positive,2
