final_text,Sentiment
operating profit quarter apriljune 2006 amounted eur182 2 sale eur3 62 bn,neutral
atrium chose delight attract consumer 2545 age group atrium fresh range microwaveable meal,neutral
finnish solution provider affecto oyj hel afe1v said today slipped net loss eur 115000 usd 152000 second quarter 2010 profit eur 845000 corresponding period year earlier,neutral
u sanction put gazpromshell alliance plan jeopardy,negative
profit period eur 109 mn eur 143 mn 2009,neutral
profit period eur 59 mn eur 13 mn,positive
operating profit fell eur 203 mn eur 742 mn second quarter 2008,neutral
however sale returned growth apriljune 2010 ceo pekka eloholma said,positive
operating profit totaled eur 186 mn 83 % net sale,neutral
change market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,negative
connection deal digia employ 19 person nokia oslo silicon valley usa,neutral
brazilian unit finnish security solution provider fsecure signed 1500 new client last year online news source reseller web quoted division 's commercial director vladimir brandúo saying,positive
fair value company 's investment property went eur 2768 billion end 2009 eur 2916 billion year earlier,neutral
dealer said share largely hit investor disappointment refining margin 948 usd per barrel quarter performance shipping unit saw ebit drop 5 mln eur 20 mln eur year amid fall volume tanker rate,negative
testament quality lte solution commitment japanese market ' added,neutral
company ' aim finalize negotiation sign contract start october 2008,neutral
metso foundry jyvaskyla oy discontinue production line 30 september 2008 company said,neutral
total six polled analyst rated mreal two gave buy `` accumulate `` three gave hold `` one gave sell ``,neutral
september 2010 finnish group agreed buy danish company rose poultry eur23 9 combination cash stock,positive
$ yang double bottom 52,positive
tesco share price grocer face sfo investigation outcome,negative
$ aapl news becoming bullish httpstkscotmu,positive
g engineering install valve liquefied natural gas lng plant built uae lng extraction gas plant operator gasco ruwais uae,neutral
percentage share voting right calculated proportion total number share registered trade register total number voting right related,neutral
mreal said ground ' rumor circulating market month ',neutral
lember said matter topical also estonia bill drafted social affair ministry would scrap oldage pension favorable condition,neutral
moody 's said gave p a1 longterm senior unsecured p p1 shortterm debt rating finnish lender aktia bank 's eur1bn usd1 4 bn euro mediumterm note emtn program 25 march 2011,neutral
$ tsla recall,negative
liquidity providing interrupted may 11 2007 aspocomp group oyj 's share traded 050 cent aspocomp 's stock exchange release 1152007,neutral
hargreaves lansdown buck weak market see asset rise 26 percent,positive
1259 pm omx helsinki 25 index 032 pct lower 269481,negative
decision mean temporary layoff fixed duration company 's nastola jyvaskyla unit southern central finland respectively,neutral
value order eur 10mn,neutral
m laakso responsible hkscan 's hr function development group smarket area,neutral
fiskars also engaged global supply marine energy equipment solution service associated company wartsila corporation,neutral
aberdeen asset management gain foothold china,positive
finland 's dominating rail company vr planning set infected passenger longdistance trip separate carriage,neutral
november finnish government decreased ownership company 311 percent 38 percent,neutral
finnish exel composite technology company design manufacture market composite profile tube various industrial application report net sale decreased 06 % second quarter 2010 eur 192 mn eur 193 mn corresponding period 2009,neutral
bavelloni 's nst 's joint venture bavelloni tool completes semiproducts produced italy highquality tool sold diapol brand,neutral
tool patent pending design allows consumer lay entire project removable plate using multiple clear stamp kind,neutral
$ googl short 740 upper bb overbought,negative
light curfew curl latest bestseller treat eye perfect reading light luceplan,neutral
upmkymmene corp world 's largest maker magazine paper tuesday reported 19percent profit drop lower paper price higher cost strong euro hurt revenue,negative
total value contract eur 8 million,neutral
prerequisite inclusion program receipt gain key employee acquire aspo share amount determined board advance maximum,neutral
mr doring eaton since 1989 acted business unit manager eaton 's power control business unit since january 2007,neutral
250 sq 2691 sq ft store copenhagen 's premier shopping district inaugurated today strengthening company 's presence nordic capital,positive
financial statement first quarter 2010 tikkurila reported discontinued operation,neutral
world 's second largest stainless steel maker said net profit threemonth period dec 31 surged euro603 million u $ 781 million euro3 33 u $ 431 per share euro172 million euro0 94 per share previous year,positive
name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication 2424kolnp2008 adate filing application 16062008publication date 30012009,neutral
netflix grows effort create loyal customer $ nflx httpstco5qxbkobphe,positive
omx nordic 40 omxn40 index comprising 40 traded nordic stock nasdaq omx exchange closed 087 % 106414 point thursday,negative
$ aapl nibbling small long via 525 buying 13min chart,positive
operating margin aker yard cruise ferry division went 83 % 64 % first quarter 2007,negative
$ tyc break new high lot technical looking great right,positive
eero katajavuori currently group vice president human resource take yearlong sabbatical starting october 1 2010,neutral
whats $ lulu number looked good great good think conference call instill confidence,neutral
adjustment measure carried phase secure delivery capability,neutral
alma medium corporation press release 15 march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local paper tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipality bought suomen paikallissanomat oy,neutral
temporary layoff affecting entire workforce also implemented,negative
meeting medium analyst held day 1030 stonesoft headquarters helsinki italahdenkatu 22 interim report presented stonesoft 's ceo ilkka hiidenheimo,neutral
finnish samporosenlew manufacture approximately seven forest machine monthly half machine exported,neutral
facebook near buy point last week face different technical test today httpstcoc72llmpinm $ fb $ aapl $ nflx httpstcofpfbytypuy,positive
4 february 2011 finnish broadband data communication system provider teleste oyj hel tlt1v said wednesday net profit rocketed eur4 8 2010 eur416 000 2009 lifted dividend proposal,positive
$ free ha heeeeeere come pump glad picked 9k end day get ready bull ride,positive
finnish technology group aspocomp group oyj omx helsinki acg1v issued third quarter report thursday 13 november posting operating profit eur0 4 compared loss eur0 5 third quarter 2007,positive
building complex consists highquality office retail space totalling 49200 square metre company said,neutral
finnish insurance company fennia kesko group ending loyal customer cooperation,neutral
unit planned operational second half 2007 full stream 2008,neutral
itg 's share deal estimated 500000 euro $ 627000,neutral
plant expected enter commercial operation mid2009,neutral
aspo also investigated sale opportunity kaukomarkkinat 's electronics business,neutral
bg group appoints new ceo one month early,neutral
acquisition immediate positive impact aspocomp 's financial result,positive
finnair 's passenger load factor measure number sold seat share available seat dropped 13 percentage point 767 % september,negative
rt bman1 $ lng look primed also $ eght poised run,positive
also 77 pct 12month volume weighted average price stock,positive
coke dividend 3 % google dividend 0 % passive income coke take $ goog $ ko httpstcoqbsowjxost,neutral
profit tax eur 54 mn eur 36 mn year earlier,positive
subsidiary setting facility manufacturing highdensity interconnection printed circuit board pcbs nokia 's special economic zone sriperumbudur near chennai,neutral
$ crm sep 40 call 35 % since entry bang httpstkscodedm,positive
januaryjune 2010 diluted loss per share stood eur0 3 versus eur0 1 first half 2009,negative
rapala said estimate make saving 12 mln eur year centralising french operation one site,positive
$ vmw got nice push today following small sweeper may c morning,positive
topped consensus forecast earnings 021 euro share,positive
rd loan,neutral
future company intends look knowhow outside company cooperate actor sector,positive
need ready window open rosberg said,neutral
50000 tonne asphalt mix used contract,neutral
pa jpmorgan chase co nyse jpm pohjoa bank joint leadmanagers senior unsecured deal,neutral
$ ctrp breaking good vol parser buy signal noticed bob langs comment looking 48 fast,positive
sale finland decreased 105 % january sale outside finland dropped 17 %,neutral
pulp production finnish kemijñrvi also liquidated 1100 employee loose job,negative
nordea cheapest also couple 30 debt,neutral
jussi pesonen member sampo board since 2006 renounce seat sampo board,neutral
tesla recalling 2700 model x car httpstco8z7bkvstl9 $ tsla,negative
adjusted change group structure division 's net sale increased 17 %,positive
making matter difficult company said grappling higher oil gas price pushed cost energy raw material transportation,neutral
amending proposal simplifies proposed plan increase incentive key employee stay company,positive
solution expanded include ground staff task,neutral
operating loss totalled eur 32 mn compared profit eur 72 mn third quarter 2008,negative
fedday looking sharp move equity $ aapl $ hd $ low $ fb seeing $ uvxy $ tvix getting hammered even though market,positive
net sale totaled eur 936 mn eur 932 mn corresponding period 2005,positive
consequence work council withdrawn petition suspend reorganisation,neutral
ceo erkki jñrvinen happy company 's performance 2010,positive
comparable net sale expected increase 10 % 2008 line group target,positive
following transaction lundbeck worldwide right nalmefene excluding north america mexico turkey southkorea,positive
government started selloff last month putting 8 percent stake teliasonera auction bloc,neutral
report go provide detailed profile ten leading european specialty chemical company brief profile major player,neutral
operating profit net sale threemonth period increased respectively eur16 0 eur139m compared corresponding quarter 2006,positive
company expects net sale whole 2009 previous year level,neutral
company headquartered sievi finland listed nordic exchange helsinki,neutral
commission income increased 22 % eur 44 mn lending volume rose 135 %,positive
finnish company sold uk operation consisting 50 staff office london birmingham manchester part deal hampden july 2001 europeanwide property casualty arm sampo industrial,neutral
building home improvement trade sale decreased 225 % eur 2014 mn,negative
innova 2 building located close downtown immediate vicinity paviljonki travel center within walking distance heart city thanks trade fair bridge,neutral
finnish textile clothing group marimekko oyj posted net profit 799 mln euro $ 104 mln 2006 compared 84 mln euro $ 109 mln 2005,neutral
main strength cooperation project lie merging knowhow two large company,positive
shareholder right put agenda agm item within competence general meeting,neutral
kazgiprotsvetmet outotec finland signed agreement strategic cooperation marketing providing mineral processing metallurgical plant related service kazakhstan surrounding country,positive
due rapid decrease net sale personnel reduction carried wider scale initially expected,neutral
government instead proposed exchange state 's stake lmt teliasonera 's stake lattelecom,neutral
stora due release fourthquarter 2009 fullyear earnings feb 4,neutral
fullyear operating result 2008 36 million negative,neutral
$ nq got hit hard lower look like found support 1889 httpstkscos052z,negative
2008 avc systemhaus net sale eur 10 million usd 71,neutral
company established 3g base station 17000 foot foot mount everest enable mountain climber 29035foot summit surf internet even send video exploit,positive
offer customer solution based renewable raw material,neutral
survey conducted taloustutkimus sampo life show company badly prepared losing key staff member,neutral
antti orkola president kemira growhow 's industrial solution unit told thomson financial news company put opening mine price phosphate quite depressed long time ' ',neutral
pretax profit group 's life insurance business increased eur36m eur27m,positive
make available following brandnew market analysis cement pakistan cement malaysia cement taiwan cement philippine analysis give clear overview actual situation future outlook cement industry asian country,neutral
company serf approximately 3000 customer 100 country,neutral
rt alphatrends vmarkets still acting weak httpstksco1agn $ spy $ qqq $ xlf $ smh $ iwm,negative
operating profit totalled eur 302 mn eur 438 mn year earlier,neutral
one installed elevator doubledeck elevator enables efficient use building 's core space,positive
helsinki afx outokumpu said agreed sell hitura nickel mine finland canadian group belvedere resource ltd 10 mln eur worth belvedere share,neutral
went long $ ilmn,positive
social networking locationbased service trend comprise significant share internet traffic today appealing mid user,neutral
total 30 % order value booked fourth quarter 2009 remainder booked second quarter 2010,neutral
johnson matthey share price slump company post fullyear result,negative
previous share subscription 2004 stock option,neutral
affectogenimap build highly customised solution customer finland baltic country,neutral
closing transaction scheduled take place january 10 2008,neutral
however offering probably made current valuation partly derives deal company merged stock market shell,neutral
operating result 12month period decreased profit eur0 4 turnover decreased eur5 6 compared 2004,neutral
administrator indicated need 900 job cut irish insurer next 15 month,neutral
net sale 2008 expected level 2007,neutral
technical indicator stock bullish sp give nok positive 4 star 5 buy ranking,positive
revenue quarter totaled 274 billion 2 percent 281 billion fourth quarter 2008,negative
nviro operates processing facility independently well partnership municipality,neutral
number bodily injury case quadrupled 20002006,negative
according ringman finnish paper company acquired knowhow capacity paper recycling turned successful strategy,positive
company also said poland profitability program launched oborniki steel frame sandwich panel plant,positive
u energy executive say high steel price threatening energy exploration,negative
tesco sale rise show tentative recovery continues,positive
finland launch tiein sale 3g mobile phone cause dramatic rush mobile retail outlet first day,neutral
$ nuan held well big gain maybe 're finally move thisits still undervalued major upside,positive
company split two part coming month essent owning operating production supply enexis owning operating grid,neutral
official disclose contract value,neutral
london 's leading share today jumped almost 100 point 17 % market opened,positive
third quarter fiscal 2008 efore swung net loss eur 400000 versus net profit eur 200000 corresponding period fiscal 2007,neutral
group 's operating loss eur 08 mn profit eur 25 mn 2004,neutral
move triggered weak demand forestry equipment uncertain market situation,negative
combined company proforma net sale 140 mln euro $ 1889 mln operating profit 13 mln euro $ 175 mln 2006,neutral
managing director kari inkinen say sponda 's leasing operation developed highly favourably,positive
17 march 2011 goldman sachs estimate negative prospect norwegian mobile operation norway 's telenor asa osl tel sweden 's teliasonera ab sto tlsn short term,negative
$ tsla steaming stock relentless moment,positive
marathon estimate value remaining stake protalix $ 27 million,neutral
whitbread share price climb q4 sale growth,positive
incap contract manufacturing subsidiary incap corporation finland,neutral
operating profit totaled eur 377 mn slightly eur 372 mn corresponding period 2006,positive
went market yield guidance 725 % area gave u flexibility go 18th,neutral
rt stockdemons think shorting close might play $ spy high beta reversinglooks worth shot,negative
vdw combined lxe device enhances productivity enabling worker use single device perform voice scanning keyboard function,positive
thus method cut working cost fasten planning building process,positive
talentum 's net sale september smaller expected,negative
copyright afx news afx financial news logo registered trademark afx news limited,neutral
$ lnkd daily phase 2 retest price experiencing early rejection retest httpstkscot04xx,negative
rb reportedly appoint howard davy next chairman,neutral
tesco asda sale fall march discounter continueskantar,negative
new version important u introduce bim process based detailed building information model,neutral
sampo plc jarmo salonen head investor relation group communication tel 358 10 516 0030 distribution nasdaq omx helsinki principal medium financial supervisory authority wwwsampocom announcement distributed thomson reuters behalf thomson reuters client,neutral
barronsonline see apple $ 150share year 36 % today growing service business $ aapl httpstco3bdnekn7l1,positive
pharmaceutical market poland global research data service published recently market analysis pharmaceutical market poland,neutral
altogether finnair canceled 500 flight strike,negative
employer together health personnel support quitting pay part cost nicotine treatment,neutral
pretax loss totaled eur 117mn compared loss eur 65mn corresponding period,neutral
order includes 48 ship crane delivered 12 container feeder built wenchong shipyard china,neutral
copper lead nickel also dropped hbos hbos plummeted 20 % 703 penny saying yearó,neutral
$ goog testing 200 day consolidation httpstkscoh0cpj,positive
join technopolis kone held various position within group recently director service business business development kone middle eastern operation,neutral
succeeded increasing market share sold apartment `` comment mr kari kauniskangas head yit international construction service,positive
profitability ebit % 139 % compared 131 % previousyear period,positive
finnish geosentric 's net sale decreased eur 939000 januarymarch 2009,neutral
plant scheduled completion late february 2007 hand area january two supplier nokia aspocomp group oyj perlos announced plan establish plant within nokia complex together invest r 365 crore,neutral
upmkymmene upgraded inline ' underperform ' goldman sachs,positive
slump weir lead ftse record high,negative
jan 6 ford struggling face slowing truck suv sale surfeit uptodate gottahave car,neutral
royal mail 'breached competition law ' delivery service change ofcom claim,negative
cooperation involve arena partner buying 35 % share new joint venture company operating alma medium 's home sale vehicle consumer advertising marketplace business,neutral
efore plant saarijarvi central finland one largest employer region,neutral
however shortterm rental becoming popular,neutral
emsa deputy chairman board juri lember told bns wednesday first time heard strike swedish side informed estonian union yet,neutral
tesco close new chairman dixons carphone 's john allan frame,positive
device offer multimedia performance along host productivity application including live stock price,neutral
sale climbed 192 pct 1002 bln eur surpassing 953 mln eur consensus figure,positive
$ fb turn back early trading httpstcoreuf5pzhbm,negative
utah 's capital wanted next u headquarters amer sport corp skiequipment company,neutral
old mutual firstquarter sale 18 % buoyed emerging market,positive
dividend payable february 1 2010 shareholder record january 19 2010,neutral
sale finland decreased 105 % january sale outside finland dropped 17 %,negative
furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brand,positive
kesko corporation stock exchange release 28022008 0930 1 1 kesko corporation aspo plc today signed agreement aspo acquires share capital kaukotelko ltd subsidiary wholly owned kesko,positive
$ lulu outlook q1 2013 lost revenue range $ 12 million $ 17 million good,negative
mobile communication wireless broadband provider nokia inc nyse nok today set new financial target forecast nokia mobile device industry also nokia siemens network mobile fixed infrastructure related service market,neutral
poyry plc additional information heikki malinen president ceo poyry plc tel 358 10 33 21307 poyry global expert consulting engineering,neutral
danish company flsmidth acknowledged violated patent held finnish metso,neutral
amanda capital investment 22 private equity fund 200 unquoted company mainly europe,neutral
net interest income eur 393 mn eur 327 mn,positive
jeder betatester erhñlt kostenlos sechs monate lang update und hat laut eigener aussage die mâglichkeit die finale version zu beeinflussen,neutral
jp morgan expects scala lower nobel biocare 's growth forecast 2007 current guidance 2325 pct well operating margin target current 3435 pct,neutral
aviva promise higher dividend boost flagging share price,positive
addition mids always online enable full internet browsing,neutral
fiskars strong portfolio international brand include fiskars iittala gerber silva buster,positive
tesla model x recall add reliability issue $ tsla httpstcojvxq4doxnp,negative
name buyer disclosed,neutral
net sale vegetable oil business rose eur 106 mn eur 101 mn,positive
agreement benefon 's forthcoming range twig integrated gps navigation mobile phone device use jointly developed webbased tracking location technology consumer commercial application,neutral
following increase huhtamaki 's registered share capital eur360 62 number share outstanding 106063320,neutral
three year turnaround program expected ensure salomon 's future competitiveness company said,positive
autumn plan expand service st petersburg moscow launch service yekaterinburg russia flying three time week,positive
company 's profit totaled l 578100 h1 2007 309 % yearonyear,negative
federal secretary transport communication mexico awarded poyry mexican partner sintra consulting contract connection buenavistacuautitlan suburban railway,positive
fda approves astrazeneca drug advanced lung cancer,positive
order included metso 's fourth quarter 2007 order backlog,neutral
lieksaare oy earlier regarded control saarelainen oy individual shareholder shareholder agreement,neutral
ragutis controlled finnish brewery reported 54percent rise beer sale 1044 million litre held 1109percent market share,positive
$ mcp rolling new intraday low bottom picker continue get destroyed,negative
company annual turnover eur32 8,neutral
has80 branch finland annual revenue finland,neutral
portfolio comprises 118000 m2 leasable space vacancy rate roughly 5 % let around 140 tenant two largest swedish government ericsson,neutral
wpp boost sale despite cautious client,positive
mediumterm operative target company remain unchanged,neutral
adp news feb 13 2009 finnish retailer kesko oyj hel kesbv said today total sale excluding value added tax vat stood eur 6613 million usd 8531 january 2009 152 % yearonyea,negative
consumer well received packed fresh meat,positive
corrected chapter entirety,neutral
major part delivery include different ac cxe amplifier solution product dinh telecom company acquired teleste last spring,neutral
tietoenator us nokia 's intellisync mobile suite 's wireless email calendar device management capability company extend service customer,positive
provide heating form hot water sawmill 's need,neutral
however net sale declined eur 8036 million eur 12 billion,negative
second quarter 2010 raute 's net loss narrowed eur 123000 eur 15 million period 2009,positive
$ dgi technical alert gilligan 's island buy setup stochastic buy signal lizard bullish hammer candlestick wid httpstkscoc29nu,positive
record date dividend distribution march 14 2008,neutral
ih move enhance growth,positive
ebrd using fund provide 216 million loan b portion 10 million euro syndicated two finnish commercial bank nordea bank finland plc 77 million euro pohjola bank plc 23 million euro,neutral
stockholm 3 march 2011 cybercom cybercom group hightech consultancy offer global sourcing endtoend solution,neutral
said losing five family month economy many make alternative arrangement save money,negative
milan afx italian shipping group grimaldi increased stake finnish company finnlines 354 pct 305 pct held june according news agency ansa,neutral
commenting deal shane lennon svp marketing product development gypsii said,neutral
external net sale printing business fell 437 % partly due termination printing contract ilkkayhtyma 's printing house iprint oy sector player hs medium ab december 2009 fall printing price,neutral
group intends relocate warehouse office space loudeac saint marcel morvillars east country already operates hook manufacturing distribution unit,neutral
firm headquartered vantaa southern finland 16 employee,neutral
133 pm omx helsinki 25 030 pct lower 246367 omx helsinki 037 pct 853742 volume 256 mln eur,neutral
honored recognized gartner specialist business process modeling analysis company many largest software vendor world,positive
westpac banking corp issue benchmark 3 year frn deal euro,neutral
includes company brand share data category well distribution channel data,neutral
new share subscribed stock option shareholder right commence date entered trade register,neutral
$ aapl price momentum weakening going close,negative
acquisition solteq expand solution offering microsoft 's dynamic business software product,positive
company 's profit totaled l 134700,neutral
leed internationally recognized green building certification system developed u green building council,neutral
however market share shrank 4759 per cent 48 per cent year earlier,negative
talktalk hire bae system investigate cyber attack,negative
look like booking one way ticket 40 week near 50 losing 10 week $ lulu httpchartly7xb9h9b,neutral
ftse led lower m glaxosmithkline,negative
exercise price option based safran software solution ' license maintenance sale well result company,neutral
fullyear operating result 2008 36 million negative,negative
company said production volume far indicate circuit capable targeted output rate 60000 tonne per day 22 million tonne year,neutral
jun 25 2008 boy genius report delivered newstex nokia nyse nok n78 huh,neutral
come decision based preliminary economic operational environmental finding `` karvinen said,neutral
new majority owner aspocomp thailand co ltd certain private person belonging immediate circle aspocomp 's present joint venture partner saha pathana interholding plc,neutral
38 mln euro $ 52 mln base acquisition price paid cash rest subscription offering total 850000 new ixonos share,neutral
established 1987 srv group private finnish construction concern operation finland baltic country russia,neutral
business section also includes ahlstrom 's sustainability report,neutral
lemiste city environment knowledgebased economy providing work 3300 people total turnover company amounting eek 54 bn `` said lo pñrnits chairman supervisory board lemiste city mainor,neutral
jacob supporting storengy 's investment developing storage site since 2006 owner 's engineer,neutral
company earlier said considering different strategic option struggling lowcost mobile operator including divestment holding,neutral
sainsbury 's asda tesco morrison cut petrol price oil fall,negative
barclays sell benchmark index unit bloomberg,positive
operating profit fourth quarter fell eur33m eur39m year earlier,neutral
finnish forestry company upmkymmene waste management company lassila tikanoja said jan 30 planning produce ethanol energy commercial industrial waste,neutral
ism disclose financial result daily said,neutral
contract cover manufacturing surfacetreatment installation steel structure,neutral
finnish metal industry solution supplier outotec oyj net profit rose 504 mln euro $ 725 mln first nine month 2007 201 mln euro $ 289 mln period 2006,positive
deal know pay sek90m usd12 8 meur8 6 cash stock,neutral
first nine month 2010 company 's net profit rose eur41m eur30m corresponding period 2009,positive
$ aapl 50dma turned macd crossover halfahair away weekly eod break likely,positive
protalix $ 42 million cash sale,neutral
bearish outside day tuesday significant 200 day resistance still intact opinion $ sd httpchartly2bey48t,negative
right reserved,neutral
operated nokia supported nokia netact network service management system,neutral
mr priit kasak balti metsamasina 's owner said rakverebased company wish increase valmet 's market share 27 % third couple year,positive
shire see baxalta deal closing expected new rule,positive
sainsbury cfo rogers replace home retail ceo walden,neutral
marathon 46 percent stake plx said according bloomberg,neutral
simmons elected dcuc chairman portsmouth nhgordon simmons ceo service credit union elected chairman defense credit union council 20072008 term,neutral
sanoma news ' advertising sale decreased 22 % year,negative
pharmaceutical market czech republic global research data service published recently market analysis pharmaceutical market czech republic,neutral
finnish construction company yit reducing number startup marketfinanced residential unit 2007 2300 previously announced 2700,neutral
cash flow operation recent quarter also reached eight year low,neutral
tietoenator 113 pct 1838 extending recent low last week 's secondquarter report dealer said,negative
maritime administration said ship ignored warning icy condition,negative
synergy pharma soar 67 % today positive phase 3 result $ sgyp httpstkscoj2awg,positive
operating profit rose eur 16 mn eur 11 mn corresponding period 2006,positive
making matter difficult company said grappling higher oil gas price pushed cost energy raw material transportation,negative
$ vrtx vertex monthly lower hilower lo long term uptrend intract far,positive
financial detail disclosed,neutral
include software development internet mobile telephone content communication valueadded software financial service security application system integration electronics `` ebrd informed,neutral
yit lodged counter claim neste oil totaling eur25m primarily based work carried contract additional cost incurred due prolongation project,neutral
follow berkshire hathaway apple stock,neutral
total amount subscription price recorded fund invested nonrestricted equity,neutral
$ tsla 5th wave 1 hour chart hammer candle developing close 200 sma might good spot call,positive
strongest growth seen new market russia czech republic slovakia,positive
tower 's engineer created 18 degree westward lean four time inclination leaning tower pisa using diagrid structure aligned geometrically using tekla structure bim building information modeling software,neutral
amer bought salomon adidas october said job cut aimed boosting competitiveness,neutral
acando ab acanb s fell 89 percent 1335 kronor lowest close since dec 11,negative
measure suominen corporation aim ensure competitiveness flexible packaging business long term,positive
ifhedieshedies bullhorn334 $ znga short getting nervous,positive
financial statement release available publishing company 's internet page wwwcargoteccom,neutral
world glass coming egypt invite visitor around world attend glass world exhibition 2009 register wwwglassworldexcom,neutral
comparable operating profit totaled eur 47 mn eur 51 mn corresponding period 2005 representing 74 % net sale,negative
raw material come europe u paid euro u dollar sale take place ruble,neutral
